solv_i_id,molefrac_i,T,ln_gamma_i,_source
solvent_27 / solvent_723,1 / 0,298.15,0 / 1.04,aci
solvent_27 / solvent_87,1 / 0,298.15,0 / 0.65,aci
solvent_27 / solvent_57,1 / 0,298.15,0 / 0.22,aci
solvent_27 / solvent_4,1 / 0,298.15,0 / 0.97,aci
solvent_27 / solvent_544,1 / 0,298.15,0 / 0.96,aci
solvent_27 / solvent_111,1 / 0,298.15,0 / 1.62,aci
solvent_27 / solvent_711,1 / 0,298.15,0 / 5.7,aci
solvent_27 / solvent_553,1 / 0,298.15,0 / 1.21,aci
solvent_27 / solvent_7,1 / 0,298.15,0 / -0.17,aci
solvent_27 / solvent_20,1 / 0,298.15,0 / 1.12,aci
solvent_97 / solvent_5,1 / 0,298.15,0 / 0.42,aci
solvent_97 / solvent_60,1 / 0,298.15,0 / 0.54,aci
solvent_97 / solvent_50,1 / 0,298.15,0 / 0.48,aci
solvent_97 / solvent_18,1 / 0,298.15,0 / 0.02,aci
solvent_97 / solvent_3,1 / 0,298.15,0 / 0.05,aci
solvent_97 / solvent_32,1 / 0,298.15,0 / 0.53,aci
solvent_800 / solvent_108,1 / 0,298.15,0 / -0.22,aci
solvent_207 / solvent_32,1 / 0,298.15,0 / 0.59,aci
solvent_230 / solvent_5,1 / 0,298.15,0 / -0.07,aci
solvent_230 / solvent_60,1 / 0,298.15,0 / -0.15,aci
solvent_230 / solvent_50,1 / 0,298.15,0 / -0.05,aci
solvent_230 / solvent_190,1 / 0,298.15,0 / 0,aci
solvent_230 / solvent_19,1 / 0,298.15,0 / 0,aci
solvent_230 / solvent_128,1 / 0,298.15,0 / 0.05,aci
solvent_230 / solvent_44,1 / 0,298.15,0 / 0.03,aci
solvent_230 / solvent_844,1 / 0,298.15,0 / 0.03,aci
solvent_230 / solvent_900,1 / 0,298.15,0 / 0.06,aci
solvent_230 / solvent_126,1 / 0,298.15,0 / 0,aci
solvent_230 / solvent_123,1 / 0,298.15,0 / 0.09,aci
solvent_309 / solvent_66,1 / 0,298.15,0 / 0.88,aci
solvent_309 / solvent_6,1 / 0,298.15,0 / 0.68,aci
solvent_309 / solvent_15,1 / 0,298.15,0 / 2.99,aci
solvent_309 / solvent_111,1 / 0,298.15,0 / 2.45,aci
solvent_309 / solvent_40,1 / 0,298.15,0 / 3.12,aci
solvent_193 / solvent_723,1 / 0,298.15,0 / 0.1,aci
solvent_193 / solvent_97,1 / 0,298.15,0 / 0.1,aci
solvent_102 / solvent_5,1 / 0,298.15,0 / 0.03,aci
solvent_102 / solvent_60,1 / 0,298.15,0 / 0.1,aci
solvent_102 / solvent_50,1 / 0,298.15,0 / 0.19,aci
solvent_102 / solvent_190,1 / 0,298.15,0 / 0.07,aci
solvent_102 / solvent_19,1 / 0,298.15,0 / 0.13,aci
solvent_102 / solvent_128,1 / 0,298.15,0 / 0.2,aci
solvent_102 / solvent_44,1 / 0,298.15,0 / 0.17,aci
solvent_102 / solvent_844,1 / 0,298.15,0 / 0.16,aci
solvent_102 / solvent_900,1 / 0,298.15,0 / 0.14,aci
solvent_102 / solvent_126,1 / 0,298.15,0 / 0.25,aci
solvent_102 / solvent_123,1 / 0,298.15,0 / 0.14,aci
solvent_848 / solvent_108,1 / 0,298.15,0 / -0.22,aci
solvent_90 / solvent_5,1 / 0,298.15,0 / 1.12,aci
solvent_90 / solvent_60,1 / 0,298.15,0 / 1.1,aci
solvent_90 / solvent_50,1 / 0,298.15,0 / 0.79,aci
solvent_90 / solvent_18,1 / 0,298.15,0 / 0.22,aci
solvent_90 / solvent_365,1 / 0,298.15,0 / 0.8,aci
solvent_90 / solvent_93,1 / 0,298.15,0 / 0.52,aci
solvent_313 / solvent_5,1 / 0,298.15,0 / 1.66,aci
solvent_313 / solvent_251,1 / 0,298.15,0 / 1.65,aci
solvent_313 / solvent_60,1 / 0,298.15,0 / 1.85,aci
solvent_313 / solvent_50,1 / 0,298.15,0 / 1.49,aci
solvent_313 / solvent_190,1 / 0,298.15,0 / 1.9,aci
solvent_313 / solvent_19,1 / 0,298.15,0 / 2.15,aci
solvent_313 / solvent_128,1 / 0,298.15,0 / 2.05,aci
solvent_313 / solvent_44,1 / 0,298.15,0 / 2.36,aci
solvent_313 / solvent_844,1 / 0,298.15,0 / 2.11,aci
solvent_313 / solvent_900,1 / 0,298.15,0 / 2.19,aci
solvent_313 / solvent_126,1 / 0,298.15,0 / 2.1,aci
solvent_313 / solvent_123,1 / 0,298.15,0 / 2.54,aci
solvent_313 / solvent_18,1 / 0,298.15,0 / 0.03,aci
solvent_313 / solvent_365,1 / 0,298.15,0 / 1.06,aci
solvent_313 / solvent_93,1 / 0,298.15,0 / 0.6,aci
solvent_74 / solvent_1,1 / 0,298.15,0 / 0.13,aci
solvent_74 / solvent_66,1 / 0,298.15,0 / 0.85,aci
solvent_74 / solvent_112,1 / 0,298.15,0 / 0.69,aci
solvent_74 / solvent_32,1 / 0,298.15,0 / 0.93,aci
solvent_74 / solvent_12,1 / 0,298.15,0 / 0.74,aci
